Call type,Location,Dispatch time
ACCIDENT INJURIES,310 E CAPITOL AVE,2022-04-12 16:05:15
VEHICLE STALLED VEHICLE,CHENAL PKY / KIRK RD,2022-04-12 16:03:38
TRAFFIC VIOLATION,IMPALA DR / MORRIS DR,2022-04-12 16:01:35
CRIMINAL MISCHIEF,12 OLD GLORY CT,2022-04-12 15:58:01
BURGLARY,14118 SAINT MICHAEL DR,2022-04-12 15:57:22
RESIDENTIAL ALARM,10 DEAUVILLE CIR,2022-04-12 15:53:44
POLICE - SUSPICIOUS PACKAGE,101 S SHACKLEFORD RD,2022-04-12 15:53:12
SUSPICIOUS PERSON,8 VALLEY CT,2022-04-12 15:50:31
DISTURBANCE WITH WEAPON IN PROGRESS,10215 MABELVALE PLAZA DR,2022-04-12 15:50:04
PROPERTY CHECK,7816 BRADLEY DR,2022-04-12 15:49:50
INFORMATION REPORT,12001 SARDIS RD,2022-04-12 15:49:37
CHECK CONDITION OF SUBJECT,17 WESTWARD RD,2022-04-12 15:42:19
UNKNOWN,2410 S BATTERY ST,2022-04-12 15:41:13
CHECK CONDITION OF SUBJECT,500 W MARKHAM ST / 2 N BROADWAY ST,2022-04-12 15:37:28
ASSIST MEDICAL,7311 BASELINE RD,2022-04-12 15:33:54
VEHICLE STOLEN VEHICLE,6401 BASELINE RD,2022-04-12 15:32:35
VEHICLE STOLEN VEHICLE,9804 N RODNEY PARHAM RD,2022-04-12 15:31:44
DISTURBANCE IN PROGRESS,2600 W 65TH ST,2022-04-12 15:29:56
CHECK CONDITION OF SUBJECT,4213 TATUM ST,2022-04-12 15:28:45
SUSPICIOUS PERSON,8711 BASELINE RD,2022-04-12 15:27:42
BATTERY,7820 W CAPITOL AVE,2022-04-12 15:26:36
WANTED PERSON,BASELINE RD / STRATFORD CT,2022-04-12 15:24:26
VEHICLE STALLED VEHICLE,ASHER AVE / FAIR PARK BLVD,2022-04-12 15:22:20
SUSPICIOUS PERSON,10101 INTERSTATE 30,2022-04-12 15:21:10
ACCIDENT,S UNIVERSITY AVE / MABELVALE PIKE,2022-04-12 15:20:33
RESIDENTIAL ALARM,4 RAINWOOD LN,2022-04-12 15:19:41
CHECK CONDITION OF SUBJECT,E 3RD ST / CUMBERLAND ST,2022-04-12 15:18:22
CHECK CONDITION OF SUBJECT,1800 BROADWAY ST,2022-04-12 15:17:09
DISTURBANCE IN PROGRESS,9715 MABELVALE PIKE,2022-04-12 15:15:24
DISTURBANCE IN PROGRESS,1 CHILDRENS WAY,2022-04-12 15:14:06
PRISONER TRANSPORT,24 SHACKLEFORD WEST BLVD,2022-04-12 15:13:35
ACCIDENT INJURIES,S UNIVERSITY AVE / MABELVALE PIKE,2022-04-12 15:13:17
RESIDENTIAL ALARM,56 BRISTOL CT,2022-04-12 15:11:07
CRIMINAL TRESPASS IN PROGRESS,318 S PARK ST,2022-04-12 14:54:41
STANDBY TO PREVENT DISTURBANCE,5503 B ST,2022-04-12 14:51:38
ACCIDENT,11601 N RODNEY PARHAM RD,2022-04-12 14:47:36
ACCIDENT,CANTRELL RD / PLEASANT RIDGE RD,2022-04-12 14:41:20
CHECK CONDITION OF SUBJECT,7019 MORGAN DR,2022-04-12 14:31:46
POLICE - SUBJECT DOWN,400 GATEWAY GROVE LOOP,2022-04-12 14:30:03
INFORMATION REPORT,7801 KANIS RD,2022-04-12 14:24:41
ACCIDENT,INTERSTATE 630 / S CEDAR ST,2022-04-12 14:20:19
TRAFFIC PURSUIT,S MONROE ST / W 11TH ST,2022-04-12 14:14:43
POLICE - SUBJECT DOWN,8207 W 36TH ST,2022-04-12 14:12:16
