Call type,Location,Dispatch time
VEHICLE ABANDONED VEHICLE,91 SAXONY CIR,2022-04-14 09:57:36
DISTURBANCE IN PROGRESS,2415 BROADWAY ST,2022-04-14 09:43:52
DISTURBANCE IN PROGRESS,1528 PARHAM POINTE DR,2022-04-14 09:43:21
THEFT IN PROGRESS,5609 BASELINE RD,2022-04-14 09:38:48
VEHICLE BLOCKED DRIVE / ALLEY,9600 WILDERNESS RD,2022-04-14 09:38:08
ASSIST OTHER AGENCY,5005 GREENFIELD DR,2022-04-14 09:37:23
ACCIDENT W/INJURY and ENTRAPMENT,N MONROE ST / W MARKHAM ST,2022-04-14 09:29:57
BURGLAR ALARM,7321 CANTRELL RD,2022-04-14 09:28:10
DISTURBANCE WITH WEAPON IN PROGRESS,2500 QUEBEC DR,2022-04-14 09:25:36
PRISONER TRANSPORT,700 W MARKHAM ST,2022-04-14 09:22:58
BURGLAR ALARM,4616 SPRINGER BLVD,2022-04-14 09:18:21
BATTERY JUST OCCURRED,1225 GEYER ST,2022-04-14 09:14:53
CRIMINAL MISCHIEF,1715 WRIGHT AVE,2022-04-14 09:13:35
STANDBY TO PREVENT DISTURBANCE,3425 BASELINE RD,2022-04-14 09:11:38
DISTURBANCE IN PROGRESS,5300 ASHER AVE,2022-04-14 09:04:04
BURGLAR ALARM,3220 CANTRELL RD,2022-04-14 09:03:29
THEFT,7201 INTERSTATE 30,2022-04-14 08:58:48
DISTURBANCE IN PROGRESS,1624 BROADWAY ST,2022-04-14 08:54:01
BURGLAR ALARM,11525 CANTRELL RD,2022-04-14 08:49:35
PROPERTY CHECK,22 WEMBERLY DR,2022-04-14 08:47:18
ANIMAL LOOSE ANIMAL,W 65TH ST / S UNIVERSITY AVE,2022-04-14 08:45:09
BREAKING OR ENTERING AUTO,7117 GEYER SPRINGS RD,2022-04-14 08:41:17
THEFT,11310 OTTER CREEK EAST BLVD,2022-04-14 08:40:00
BURGLAR ALARM,3400 S UNIVERSITY AVE,2022-04-14 08:27:48
CHECK CONDITION OF SUBJECT,EXIT 5 I430 NB SHACKLEFORD,2022-04-14 08:16:50
CRIMINAL MISCHIEF,224 E 27TH ST,2022-04-14 08:14:47
VEHICLE STOLEN VEHICLE,1815 GREEN MOUNTAIN DR,2022-04-14 08:13:50
UNKNOWN,1201 S WOODROW ST,2022-04-14 08:09:43
ACCIDENT,300 S BOWMAN RD,2022-04-14 08:04:14
RESIDENTIAL ALARM,3 SHANNON DR,2022-04-14 08:01:50
ACCIDENT,CANTRELL RD / N TAYLOR ST,2022-04-14 07:59:48
VEHICLE ABANDONED VEHICLE,15 WOODCLIFF CIR,2022-04-14 07:57:50
PARKING VIOLATION,ROYAL OAKS DR / PONDEROSA DR,2022-04-14 07:54:02
BATTERY IN PROGRESS,11517 BIRCHWOOD DR,2022-04-14 07:51:59
SUSPICIOUS PERSON,2211 RICE ST,2022-04-14 07:47:50
ACCIDENT,1200 BROOKWOOD DR,2022-04-14 07:36:34
DISTURBANCE IN PROGRESS,84 VILLAGE TER,2022-04-14 07:34:22
CHECK CONDITION OF SUBJECT,7600 REBSAMEN PARK RD,2022-04-14 07:33:27
DISTURBANCE WITH WEAPON IN PROGRESS,3315 WYNNE ST,2022-04-14 07:28:13
ACCIDENT,376 S PALM ST,2022-04-14 07:26:23
THEFT,6300 COLONEL GLENN RD,2022-04-14 07:24:06
BATTERY JUST OCCURRED,6838 CANTRELL RD,2022-04-14 07:23:35
BATTERY JUST OCCURRED,5701 DREHER LN,2022-04-14 07:22:16
BURGLAR ALARM,500 PRESIDENT CLINTON AVE,2022-04-14 07:18:45
WANTED PERSON,7805 EAGLE DR,2022-04-14 07:15:43
ACCIDENT,JOHN BARROW RD / KANIS RD,2022-04-14 07:11:31
CHECK CONDITION OF SUBJECT,9500 SATTERFIELD DR,2022-04-14 06:47:10
SUSPICIOUS PERSON,2617 S HARRISON ST,2022-04-14 06:47:01
BATTERY JUST OCCURRED,2401 W 65TH ST,2022-04-14 06:19:40
ROBBERY ALARM,14916 CANTRELL RD,2022-04-14 06:19:09
ACCIDENT PEDESTRIAN,KAVANAUGH BLVD / N VAN BUREN ST,2022-04-14 06:09:40
CHECK CONDITION OF SUBJECT,4023 S SHACKLEFORD RD,2022-04-14 06:03:48
SUSPICIOUS PERSON,12401 INTERSTATE 30,2022-04-14 05:57:50
UNKNOWN,701 GREEN MOUNTAIN DR,2022-04-14 05:56:05
CHECK CONDITION OF SUBJECT,10434 W 36TH ST,2022-04-14 05:49:43
RESIDENTIAL ALARM,1721 S CEDAR ST,2022-04-14 05:26:12
SUSPICIOUS PERSON,S ROCK ST / E 6TH ST,2022-04-14 05:19:58
ASSIST MEDICAL,8818 KANIS RD,2022-04-14 05:11:28
DISTURBANCE IN PROGRESS,3400 S BOWMAN RD,2022-04-14 05:06:23
DISTURBANCE IN PROGRESS,14 TOREY PINES DR,2022-04-14 04:38:24
SUSPICIOUS PERSON,2618 S HARRISON ST,2022-04-14 04:23:20
DISTURBANCE IN PROGRESS,1316 MAIN ST,2022-04-14 04:15:12
DISTURBANCE IN PROGRESS,4200 S UNIVERSITY AVE,2022-04-14 03:59:43
BURGLAR ALARM,9401 COLONEL GLENN RD,2022-04-14 03:59:14
BURGLARY IN PROGRESS,6310 COLONEL GLENN RD,2022-04-14 03:57:36
SUSPICIOUS PERSON,1908 S PULASKI ST,2022-04-14 03:55:23
ASSIST MEDICAL,10321 COLONEL GLENN RD,2022-04-14 03:47:56
BATTERY JUST OCCURRED,36 REGINA CIR,2022-04-14 03:38:31
SHOTS FIRED,1500 S JACKSON ST,2022-04-14 03:34:15
BATTERY JUST OCCURRED,500 S BOWMAN RD,2022-04-14 02:43:00
BURGLAR ALARM,6000 W MARKHAM ST,2022-04-14 02:35:37
DISTURBANCE IN PROGRESS,1 ARAPAHO CT,2022-04-14 02:32:41
ASSIST MEDICAL,8924 W 37TH ST,2022-04-14 02:21:48
SUSPICIOUS PERSON,5300 BASELINE RD,2022-04-14 01:56:18
UNKNOWN,7005 GREENCREST DR,2022-04-14 01:48:50
BURGLAR ALARM,8216 ARCH ST,2022-04-14 01:46:01
RESIDENTIAL ALARM,6 BLACKJACK CT,2022-04-14 01:42:59
DISTURBANCE IN PROGRESS,7405 GRACE DR,2022-04-14 01:42:05
UNKNOWN,3117 MADISON ST,2022-04-14 01:40:30
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-04-14 01:34:48
CHECK CONDITION OF SUBJECT,6200 COLONEL GLENN RD,2022-04-14 01:31:26
BURGLAR ALARM,10201 N RODNEY PARHAM RD,2022-04-14 01:30:22
SUSPICIOUS PERSON,TIMBERLAND DR / LIVE OAK DR,2022-04-14 01:18:45
DISTURBANCE IN PROGRESS,1200 S SHACKLEFORD RD,2022-04-14 01:01:32
SUSPICIOUS PERSON,106 PEARL AVE,2022-04-14 01:00:33
SUSPICIOUS PERSON,8110 LEATRICE DR,2022-04-14 00:59:24
LOITERING,5209 F ST,2022-04-14 00:58:05
DISTURBANCE IN PROGRESS,2500 S GAINES ST,2022-04-14 00:57:39
SUSPICIOUS PERSON,3119 WOODSGATE DR,2022-04-14 00:53:09
CHECK CONDITION OF SUBJECT,16401 CHENAL VALLEY DR,2022-04-14 00:50:43
PROPERTY CHECK,8115 FRENCHMANS LN,2022-04-14 00:35:32
UNKNOWN,1623 W 23RD ST,2022-04-14 00:35:15
STANDBY TO PREVENT DISTURBANCE,2609 S BATTERY ST,2022-04-14 00:15:26
SHOTS FIRED,1624 W 21ST ST,2022-04-14 00:13:37
SUSPICIOUS PERSON,818 VALMAR ST,2022-04-14 00:11:58
BURGLAR ALARM,4000 W 65TH ST,2022-04-14 00:08:47
BURGLARY,6124 BOYLE PARK RD,2022-04-14 00:05:25
DISTURBANCE IN PROGRESS,5701 DREHER LN,2022-04-14 00:04:29
SHOT SPOTTER ACTIVATION,2815 W 12TH ST,2022-04-14 00:01:56
