Call type,Location,Dispatch time
UNKNOWN,3100 W ROOSEVELT RD,2022-05-20 09:02:08
VEHICLE STOLEN VEHICLE,6818 W 32ND ST,2022-05-20 09:00:05
BURGLAR ALARM,9500 KANIS RD,2022-05-20 08:59:01
TRAFFIC VIOLATION,13641 CANTRELL RD,2022-05-20 08:58:19
RESIDENTIAL ALARM,145 RIDGE RD,2022-05-20 08:54:10
ACCIDENT,5 KINGSBRIDGE WAY DR,2022-05-20 08:51:13
DISTURBANCE WITH WEAPON IN PROGRESS,11701 MARA LYNN RD,2022-05-20 08:48:00
DISTURBANCE IN PROGRESS,721 E 9TH ST,2022-05-20 08:46:51
FORGERY,13110 OTTER CREEK RD,2022-05-20 08:45:18
STANDBY TO PREVENT DISTURBANCE,2819 S GAINES ST,2022-05-20 08:34:09
RESIDENTIAL ALARM,29 ORLE CIR,2022-05-20 08:33:36
CHECK CONDITION OF SUBJECT,N ELM ST / W MARKHAM ST,2022-05-20 08:31:52
INFORMATION REPORT,7801 JAMISON RD,2022-05-20 08:29:17
CHECK CONDITION OF SUBJECT,1 RICHSMITH CIR,2022-05-20 08:22:37
ROBBERY ALARM,11600 CHENAL PKY,2022-05-20 08:07:06
INFORMATION REPORT,4420 W CHARLES BUSSEY AVE,2022-05-20 08:06:00
PARKING VIOLATION,59 TALLYHO LN,2022-05-20 08:05:39
RESIDENTIAL ALARM,11524 N RODNEY PARHAM RD,2022-05-20 07:59:17
BURGLAR ALARM,650 S SHACKLEFORD RD,2022-05-20 07:51:32
LOITERING,321 S SCOTT ST,2022-05-20 07:45:21
ACCIDENT DWI,HINSON RD / N RODNEY PARHAM RD,2022-05-20 07:41:15
CHECK CONDITION OF SUBJECT,MABELVALE CTF / WARREN DR,2022-05-20 07:40:23
BURGLAR ALARM,2701 MAIN ST,2022-05-20 07:38:22
RESIDENTIAL ALARM,2210 S IZARD ST,2022-05-20 07:37:15
CHECK CONDITION OF SUBJECT,12109 STAGECOACH RD,2022-05-20 07:36:11
TRAFFIC VIOLATION,N CEDAR ST / W MARKHAM ST,2022-05-20 07:28:53
ASSIST MEDICAL,4210 ASHER AVE,2022-05-20 07:22:10
SHOT SPOTTER ACTIVATION,3317 W 15TH ST,2022-05-20 07:21:41
DISTURBANCE IN PROGRESS,24 WESTCHESTER CT,2022-05-20 07:20:17
DISTURBANCE WITH WEAPON IN PROGRESS,INTERSTATE 30 / GEYER SPRINGS RD,2022-05-20 07:16:09
BURGLAR ALARM,9520 N RODNEY PARHAM RD,2022-05-20 07:14:19
CHECK CONDITION OF SUBJECT,33 N MEADOWCLIFF DR,2022-05-20 07:11:48
BURGLAR ALARM,1805 E 23RD ST,2022-05-20 06:57:58
CHECK CONDITION OF SUBJECT,10434 W 36TH ST,2022-05-20 06:49:19
DISTURBANCE WITH WEAPON IN PROGRESS,224 E 7TH ST,2022-05-20 06:47:50
BURGLAR ALARM,1800 RIVERFRONT DR,2022-05-20 06:36:12
ACCIDENT PEDESTRIAN,4701 ASHER AVE,2022-05-20 06:27:56
VEHICLE STALLED VEHICLE,215 N SHACKLEFORD RD,2022-05-20 06:23:19
INFORMATION REPORT,215 N SHACKLEFORD RD,2022-05-20 06:17:52
ASSIST MEDICAL,4710 W 12TH ST,2022-05-20 06:09:53
VEHICLE,9715 COLONEL GLENN RD,2022-05-20 06:06:50
DISTURBANCE IN PROGRESS,6401 BASELINE RD,2022-05-20 05:32:04
ASSIST MEDICAL,ADAMS ST / W 25TH ST,2022-05-20 04:58:12
BURGLAR ALARM,9020 GEYER SPRINGS RD,2022-05-20 04:53:35
ASSIST MEDICAL,200 S SHACKLEFORD RD,2022-05-20 04:51:32
ACCIDENT HIT and RUN,700 E ROOSEVELT RD,2022-05-20 04:50:48
BURGLAR ALARM,6600 INTERSTATE 30,2022-05-20 04:38:03
BURGLARY IN PROGRESS,27 GLENDALE DR,2022-05-20 04:33:30
BATTERY JUST OCCURRED,925 S UNIVERSITY AVE,2022-05-20 04:22:57
DISTURBANCE IN PROGRESS,9525 INTERSTATE 30,2022-05-20 04:21:44
CHECK CONDITION OF SUBJECT,8210 LEATRICE DR,2022-05-20 04:15:44
BREAKING OR ENTERING AUTO JUST OCCURRED,8914 FOURCHE DAM PIKE,2022-05-20 04:15:09
TRAFFIC STOP,3400 REBSAMEN PARK RD,2022-05-20 04:14:22
ASSIST MEDICAL IN PROGRESS,823 S PARK ST,2022-05-20 04:00:18
RESIDENTIAL ALARM,4 TALAIS DR,2022-05-20 03:43:42
BURGLAR ALARM,1801 RESERVOIR RD,2022-05-20 03:43:14
ASSIST MEDICAL,1701 WESTPARK DR,2022-05-20 03:32:40
ASSIST MEDICAL,7525 BASELINE RD,2022-05-20 03:31:11
BURGLAR ALARM,12011 WESTHAVEN DR,2022-05-20 03:24:57
RESIDENTIAL ALARM,117 ENSBURY DR,2022-05-20 03:24:18
BATTERY JUST OCCURRED,22 HATFIELD DR,2022-05-20 03:04:10
BURGLAR ALARM,11100 W MARKHAM ST,2022-05-20 03:03:37
BATTERY IN PROGRESS,7400 FAIRFIELD DR,2022-05-20 02:51:11
THEFT JUST OCCURRED,5312 W 10TH ST,2022-05-20 02:45:37
DISTURBANCE IN PROGRESS,10509 DIAMOND DR,2022-05-20 02:36:39
CHECK CONDITION OF SUBJECT,2900 W 12TH ST,2022-05-20 02:24:07
BATTERY JUST OCCURRED,12622 HUNTERS FIELD RD,2022-05-20 02:19:18
DISTURBANCE,8108 GEYER SPRINGS RD,2022-05-20 02:10:03
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-05-20 02:06:44
ASSIST MEDICAL,200 S SHACKLEFORD RD,2022-05-20 02:02:38
DISTURBANCE IN PROGRESS,311 E 8TH ST,2022-05-20 01:53:54
UNKNOWN,2606 S ROCK ST,2022-05-20 01:51:18
UNKNOWN,7500 S UNIVERSITY AVE,2022-05-20 01:48:10
SHOTS FIRED,67 GLENMERE DR,2022-05-20 01:30:23
DISTURBANCE IN PROGRESS,7809 EAGLE DR,2022-05-20 01:29:32
DISTURBANCE WITH WEAPON IN PROGRESS,7900 SCOTT HAMILTON DR,2022-05-20 01:23:20
SHOT SPOTTER ACTIVATION,2017 WASHINGTON ST,2022-05-20 01:16:11
BURGLAR ALARM,11100 W MARKHAM ST,2022-05-20 01:01:29
BURGLAR ALARM,301 N SHACKLEFORD RD,2022-05-20 01:00:04
BURGLAR ALARM,6100 W 12TH ST,2022-05-20 00:50:45
RESIDENTIAL ALARM,54 TOURNAY CIR,2022-05-20 00:49:37
ASSIST MEDICAL,7300 CANTRELL RD,2022-05-20 00:45:38
BURGLARY IN PROGRESS PREMISES OCCUPIED,12624 SAINT CHARLES BLVD,2022-05-20 00:44:06
SHOTS FIRED,CAYLOR LN / EVA LN,2022-05-20 00:38:59
RESIDENTIAL ALARM,4900 MANOR AVE,2022-05-20 00:38:39
DISTURBANCE IN PROGRESS,4424 W MARKHAM ST,2022-05-20 00:34:31
SUSPICIOUS PERSON,11 RICHSMITH DR,2022-05-20 00:31:49
ASSIST OTHER AGENCY,INTERSTATE 630 / BAPTIST HEALTH DR,2022-05-20 00:27:41
DISTURBANCE IN PROGRESS,2205 S IZARD ST,2022-05-20 00:16:32
